nfe,vendedor_id,cliente_id,produto_id,valor_desconto,item_quantidade,valor_unitario,valor_total
SO43693,5.0,195,79,130.5394,12,1699.0,1568.4605999999999
SO43895,5.0,595,79,168.6211,19,2251.0,2082.3789
SO44100,5.0,530,79,218.09130000000002,23,2979.0,2760.9087
SO44283,5.0,165,79,246.75,33,4250.0,4003.25
SO44504,5.0,221,79,329.7694,35,3617.0,3287.2306
SO44556,5.0,221,79,143.2824,20,2856.0,2712.7176
SO45056,5.0,653,79,93.0393,9,2027.0,1933.9607
SO45318,5.0,679,79,232.36199999999997,27,2710.0,2477.638
SO45797,5.0,478,79,325.8652,30,3728.0,3402.1348
SO46059,5.0,478,79,156.5275,23,2875.0,2718.4725
SO46082,5.0,210,79,149.9124,17,2706.0,2556.0876
SO46344,5.0,238,79,244.08159999999998,31,3673.0,3428.9184
SO46348,5.0,329,79,220.21800000000002,31,3585.0,3364.782
SO46605,5.0,409,79,163.84199999999998,26,2220.0,2056.158
SO46614,5.0,264,79,505.7976000000001,68,8563.0,8057.2024
SO46639,5.0,382,79,233.58499999999998,22,3125.0,2891.415
SO46651,5.0,382,79,138.0108,11,2447.0,2308.9892
SO46655,5.0,38,79,330.169,42,6320.0,5989.831
SO46936,5.0,627,79,224.76959999999997,26,4056.0,3831.2304
SO46997,5.0,627,79,293.604,34,4102.0,3808.396
SO47024,5.0,627,79,367.0225999999999,43,4889.0,4521.9774
SO47037,5.0,666,79,491.10300000000007,62,6714.0,6222.897
SO47042,5.0,415,79,520.1655000000001,73,7515.0,6994.8345
SO47049,5.0,415,79,481.71200000000005,47,4424.0,3942.288
SO47441,5.0,415,79,447.2365000000001,51,5479.0,5031.7635
SO47458,5.0,415,79,352.7307,43,5471.0,5118.2693
SO47670,5.0,39,79,661.0440000000001,71,7835.0,7173.956
SO47965,5.0,39,79,267.57680000000005,41,5069.0,4801.4232
SO47975,5.0,285,79,500.5259999999999,56,7323.0,6822.474
SO47994,5.0,285,79,283.87260000000003,41,4746.0,4462.1274
SO48036,5.0,49,79,462.7108,50,7532.0,7069.2892
SO48050,5.0,429,79,230.27430000000004,32,3447.0,3216.7257
SO48071,5.0,429,79,278.8359,33,4821.0,4542.1641
SO48075,5.0,198,79,177.14340000000004,18,1842.0,1664.8566
SO48295,5.0,198,79,522.9198,76,7626.0,7103.0802
SO48332,5.0,198,79,305.4422,31,3628.0,3322.5578
SO49113,5.0,198,79,416.61839999999995,40,5526.0,5109.3816
SO49494,5.0,573,79,307.46799999999996,24,2315.0,2007.5320000000002
SO49828,5.0,241,79,767.5996,80,8293.0,7525.4004
SO49851,5.0,298,79,442.27369999999996,42,5551.0,5108.7263
SO49865,5.0,431,79,622.557,65,8745.0,8122.443
SO50245,5.0,431,79,427.01220000000006,59,6728.0,6300.9878
SO50322,5.0,497,79,627.2178,51,6708.0,6080.7822
SO50667,5.0,497,79,43.0466,8,1493.0,1449.9534
SO50675,5.0,609,79,831.2031000000001,39,5817.0,4985.7969
SO50683,5.0,202,79,837.0288,70,8376.0,7538.9712
SO51081,5.0,357,79,731.0016,67,7032.0,6300.9984
SO51089,5.0,563,79,576.3603,58,5357.0,4780.6397
SO51111,5.0,20,79,393.56020000000007,47,5458.0,5064.4398
SO51122,5.0,20,79,435.9943999999999,46,5716.0,5280.0056
SO51696,5.0,20,79,32.085,7,1035.0,1002.915
SO51710,5.0,445,79,103.8768,13,2546.0,2442.1232
SO51843,5.0,117,79,227.97399999999993,34,2777.0,2549.026
SO51875,5.0,39,79,347.1419000000001,39,4913.0,4565.8580999999995
SO53510,5.0,168,79,306.384,38,4460.0,4153.616
SO53513,5.0,168,79,845.2584000000002,65,6462.0,5616.741599999999
SO53520,5.0,168,79,479.2997,50,5537.0,5057.7003
SO53530,5.0,294,79,556.347,52,7463.0,6906.653
SO53546,5.0,471,79,292.28599999999994,32,4804.0,4511.714
SO79101,5.0,471,79,454.1888000000001,44,4912.0,4457.8112
SO79138,5.0,551,79,169.9148,17,3358.0,3188.0852
SO86660,5.0,551,79,521.282,49,7042.0,6520.718
SO86960,5.0,551,79,201.55519999999999,22,2713.0,2511.4448
SO86974,5.0,309,79,562.9151,64,8171.0,7608.0849
SO86978,5.0,484,79,22.4949,1,167.0,144.5051
SO86980,5.0,484,79,397.90190000000007,47,5381.0,4983.0981
SO86988,5.0,346,79,657.6038999999998,65,8799.0,8141.3961
SO85311,5.0,88,79,70.474,9,544.0,473.526
SO85329,5.0,343,79,211.51849999999996,36,2131.0,1919.4815
SO85342,5.0,480,79,70.626,13,1190.0,1119.374
SO85520,5.0,510,79,302.5484,30,4148.0,3845.4516
SO87403,5.0,510,79,510.7044,65,7168.0,6657.2956
SO87408,5.0,53,79,0.0,2,279.0,279.0
SO87422,5.0,693,79,646.5938,73,7694.0,7047.4062
SO87435,5.0,693,79,506.0879999999999,70,7560.0,7053.912
SO87455,5.0,591,79,617.0048000000002,50,6548.0,5930.995199999999
SO84484,5.0,701,79,69.38250000000001,5,725.0,655.6175
SO84556,5.0,239,79,210.1896,20,2856.0,2645.8104
SO98050,5.0,99,79,276.8148,32,3447.0,3170.1852
SO98056,5.0,208,79,299.40599999999995,41,4635.0,4335.594
SO98340,5.0,208,79,240.50440000000003,25,2909.0,2668.4956
SO98379,5.0,561,79,95.1555,10,945.0,849.8445
SO98396,5.0,146,79,263.83500000000004,35,3910.0,3646.165
SO99090,5.0,317,79,254.955,31,3245.0,2990.045
SO97366,5.0,46,79,674.6328000000001,76,9211.0,8536.3672
SO97369,5.0,404,79,726.1344,83,9266.0,8539.8656
SO43867,5.0,607,79,162.4688,24,2332.0,2169.5312
SO43873,5.0,68,79,300.5095,32,4087.0,3786.4905
SO44089,5.0,537,79,35.258,3,610.0,574.742
SO44113,5.0,661,79,184.88320000000002,23,1912.0,1727.1168
SO44569,5.0,80,79,186.80880000000002,15,2216.0,2029.1912
SO44758,5.0,80,79,386.503,35,3974.0,3587.497
SO45342,5.0,452,79,54.087,13,1190.0,1135.913
SO46048,5.0,671,79,81.9864,10,1266.0,1184.0136
SO46062,5.0,283,79,278.02259999999995,31,4326.0,4047.9774
SO46093,5.0,283,79,157.9182,30,2957.0,2799.0818
SO46326,5.0,244,79,308.98560000000003,29,4448.0,4139.0144
SO46334,5.0,618,79,245.51100000000008,27,3597.0,3351.489
SO46356,5.0,140,79,286.089,40,5787.0,5500.911
SO46377,5.0,140,79,259.7568,27,3234.0,2974.2432
SO46616,5.0,79,79,675.4617,83,9527.0,8851.5383
SO46978,5.0,79,79,7.4983,1,167.0,159.5017
SO47001,5.0,79,79,298.8719999999999,43,5630.0,5331.128
SO47362,5.0,69,79,141.7024,15,3013.0,2871.2976
SO47404,5.0,69,79,76.20249999999999,9,635.0,558.7975
SO47725,5.0,233,79,465.6816,62,6924.0,6458.3184
SO48001,5.0,486,79,572.9598,62,7553.0,6980.0402
SO48035,5.0,486,79,580.8746000000001,43,6478.0,5897.1254
SO48065,5.0,23,79,544.1387000000001,63,6197.0,5652.8613
SO48306,5.0,140,79,511.7543999999999,67,7012.0,6500.2456
SO48317,5.0,701,79,318.6612,41,4971.0,4652.3387999999995
SO48351,5.0,220,79,244.20139999999998,35,4151.0,3906.7986
SO48392,5.0,108,79,459.48449999999997,62,8535.0,8075.5155
SO48786,5.0,273,79,503.51919999999996,49,6682.0,6178.4808
SO49128,5.0,594,79,22.4616,4,242.0,219.5384
SO49147,5.0,236,79,508.6455,37,4335.0,3826.3545
SO49167,5.0,158,79,512.1736000000001,34,3242.0,2729.8264
SO49532,5.0,559,79,205.38,22,2850.0,2644.62
SO49541,5.0,628,79,337.28240000000005,35,3664.0,3326.7176
SO49891,5.0,622,79,725.0375999999998,78,6999.0,6273.9624
SO50208,5.0,622,79,613.4520000000001,56,6880.0,6266.548
